record_id,customer_email,phone_number,ssn,full_name,order_id,product_name,price,quantity,category,city,country,customer_age_group,payment_method,order_date,pii_violation_label
78,nicholas.white@gmail.com,***-***-****,***-**-****,Nicholas White,ORD-000078,Watch,199.99,3,Accessories,Jacksonville,Canada,65+,Crypto,2024-01-14,PII_VIOLATION
79,user_76039@anon.com,555-326-XXXX,XXX-XX-1710,Customer_9543,ORD-000079,Blender,59.99,9,Kitchen,San Diego,Canada,45-54,Apple Pay,2024-07-04,NO_VIOLATION
80,ryan.murphy@gmail.com,***-***-****,***-**-****,Ryan Murphy,ORD-000080,Office Chair,299.99,2,Office,San Antonio,Brazil,65+,Apple Pay,2024-02-07,PII_VIOLATION
81,james.jackson@work.net,555-739-9984,829-51-7240,James Jackson,ORD-000081,Textbook,79.99,7,Books,Oakland,Germany,45-54,Google Pay,2024-11-05,PII_VIOLATION
82,J***@work.com,***-***-****,333-62-6553,Joan Watson,ORD-000082,Jacket,89.99,6,Clothing,Fresno,Japan,45-54,Bank Transfer,2024-02-18,PII_VIOLATION
83,N/A,N/A,N/A,Anonymous,ORD-000083,Wallet,29.99,10,Accessories,Riverside,France,25-34,Google Pay,2024-01-31,NO_VIOLATION
84,***@***.com,555-462-7929,***-**-****,Evelyn Martin,ORD-000084,Textbook,79.99,4,Books,Nashville,France,18-24,Google Pay,2024-09-16,PII_VIOLATION
85,J***@gmail.com,***-***-****,217-45-4705,Joshua Hernandez,ORD-000085,Watch,199.99,9,Accessories,Albuquerque,Mexico,55-64,Google Pay,2024-12-11,PII_VIOLATION
86,***@***.com,555-447-6751,***-**-****,Sandra Hill,ORD-000086,Novel Book,14.99,1,Books,Honolulu,Japan,18-24,Debit Card,2024-11-20,PII_VIOLATION
87,***@***.com,555-564-6585,***-**-****,Donna Evans,ORD-000087,Wallet,29.99,3,Accessories,El Paso,India,55-64,Credit Card,2024-01-27,PII_VIOLATION
88,***@***.com,555-553-7947,***-**-****,David Anderson,ORD-000088,Vitamin Pack,24.99,7,Health,Denver,Australia,55-64,Credit Card,2024-06-25,PII_VIOLATION
89,frank.gray@work.net,555-146-4612,504-86-1897,Frank Gray,ORD-000089,Galaxy S24,899.99,5,Electronics,Charlotte,Germany,25-34,Crypto,2024-03-11,PII_VIOLATION
90,john.howard@hotmail.com,555-279-3116,489-78-4770,John Howard,ORD-000090,Blender,59.99,7,Kitchen,Tulsa,France,18-24,Apple Pay,2024-01-22,PII_VIOLATION
91,J***@yahoo.com,***-***-****,826-91-7843,Jacob Sanders,ORD-000091,Bose Speaker,349.99,10,Electronics,San Diego,Japan,18-24,PayPal,2024-03-28,PII_VIOLATION
92,brittany.hernandez@company.com,555-546-7560,636-20-7484,Brittany Hernandez,ORD-000092,Jeans,59.99,2,Clothing,Nashville,France,25-34,PayPal,2024-03-27,PII_VIOLATION
93,angela.torres@company.com,555-894-6724,459-92-3419,Angela Torres,ORD-000093,Canon Camera,749.99,10,Electronics,San Antonio,UK,35-44,Debit Card,2024-03-29,PII_VIOLATION
94,M***@work.net,***-***-****,797-82-6295,Mark Howard,ORD-000094,Jeans,59.99,8,Clothing,Bakersfield,France,25-34,Apple Pay,2024-02-04,PII_VIOLATION
95,user_70648@anon.com,555-694-XXXX,XXX-XX-1672,Customer_8368,ORD-000095,MacBook Pro,1299.99,2,Electronics,Houston,France,35-44,Credit Card,2024-11-26,NO_VIOLATION
96,***@***.com,555-719-8792,***-**-****,Julie Robinson,ORD-000096,Coffee Maker,79.99,3,Kitchen,San Antonio,France,65+,Credit Card,2024-09-15,PII_VIOLATION
97,jonathan.gray@email.com,555-472-7108,389-59-7697,Jonathan Gray,ORD-000097,Sunglasses,59.99,6,Accessories,Detroit,India,18-24,Crypto,2024-11-19,PII_VIOLATION
98,diane.edwards@work.net,555-358-3463,441-20-3317,Diane Edwards,ORD-000098,T-Shirt,19.99,7,Clothing,Memphis,Germany,65+,Bank Transfer,2024-12-05,PII_VIOLATION
99,stephanie.brooks@hotmail.com,***-***-****,***-**-****,Stephanie Brooks,ORD-000099,AirPods Pro,249.99,6,Electronics,Tampa,Japan,55-64,PayPal,2024-01-10,PII_VIOLATION
100,A***@***.com,***-***-****,***-**-****,A. C.,ORD-000100,Jeans,59.99,1,Clothing,San Antonio,Mexico,55-64,Crypto,2024-09-26,NO_VIOLATION
101,N/A,N/A,N/A,Anonymous,ORD-000101,Wallet,29.99,4,Accessories,Tucson,USA,45-54,PayPal,2024-12-12,NO_VIOLATION
102,***@***.com,555-646-4918,***-**-****,Frances Bell,ORD-000102,Yoga Mat,29.99,7,Sports,Anaheim,India,45-54,Apple Pay,2024-05-24,PII_VIOLATION
103,paul.walker@email.com,***-***-****,***-**-****,Paul Walker,ORD-000103,Jeans,59.99,2,Clothing,Portland,Mexico,18-24,Bank Transfer,2024-09-21,PII_VIOLATION
104,***@***.com,555-950-8167,***-**-****,Jason Bell,ORD-000104,Sneakers,79.99,9,Clothing,Memphis,USA,45-54,Credit Card,2024-07-21,PII_VIOLATION
105,user_68799@anon.com,555-730-XXXX,XXX-XX-1086,Customer_2298,ORD-000105,Watch,199.99,3,Accessories,San Jose,UK,18-24,PayPal,2024-08-29,NO_VIOLATION
106,***@***.com,555-955-3449,***-**-****,Michael Torres,ORD-000106,Vitamin Pack,24.99,1,Health,San Diego,Germany,25-34,PayPal,2024-03-03,PII_VIOLATION
107,***@***.com,555-956-9189,***-**-****,Raymond Wilson,ORD-000107,Desk Lamp,34.99,5,Office,Miami,India,25-34,Bank Transfer,2024-03-14,PII_VIOLATION
108,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000108,Blender,59.99,7,Kitchen,Minneapolis,Mexico,55-64,Google Pay,2024-01-11,NO_VIOLATION
109,***@***.com,555-359-1266,***-**-****,Christina Edwards,ORD-000109,Canon Camera,749.99,3,Electronics,Corpus Christi,Canada,55-64,Bank Transfer,2024-06-19,PII_VIOLATION
110,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000110,AirPods Pro,249.99,1,Electronics,Santa Ana,Brazil,18-24,PayPal,2024-04-13,NO_VIOLATION
111,J***@hotmail.com,***-***-****,584-42-1599,Jacob Baker,ORD-000111,Sunglasses,59.99,6,Accessories,Tampa,Australia,35-44,PayPal,2024-01-25,PII_VIOLATION
112,lauren.morgan@hotmail.com,***-***-****,***-**-****,Lauren Morgan,ORD-000112,Yoga Mat,29.99,2,Sports,Oakland,Germany,18-24,Bank Transfer,2024-08-05,PII_VIOLATION
113,helen.adams@work.com,555-205-2311,435-94-5843,Helen Adams,ORD-000113,Bose Speaker,349.99,8,Electronics,Tucson,India,65+,Apple Pay,2024-03-26,PII_VIOLATION
114,mildred.phillips@hotmail.com,555-381-1939,176-95-7655,Mildred Phillips,ORD-000114,Yoga Mat,29.99,8,Sports,Miami,UK,18-24,Debit Card,2024-11-07,PII_VIOLATION
115,K***@work.net,***-***-****,719-29-8371,Kevin Campbell,ORD-000115,Yoga Mat,29.99,9,Sports,Portland,Brazil,18-24,Google Pay,2024-03-11,PII_VIOLATION
116,***@***.com,555-853-4048,***-**-****,Sharon Moore,ORD-000116,T-Shirt,19.99,8,Clothing,Tulsa,Canada,35-44,Crypto,2024-05-13,PII_VIOLATION
117,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000117,Dell Laptop,849.99,6,Electronics,Santa Ana,Brazil,18-24,Crypto,2024-12-15,NO_VIOLATION
118,***@***.com,555-407-3580,***-**-****,Dennis James,ORD-000118,Watch,199.99,3,Accessories,Portland,Mexico,25-34,Credit Card,2024-04-12,PII_VIOLATION
119,E***@yahoo.com,***-***-****,726-21-2077,Emily Campbell,ORD-000119,Bose Speaker,349.99,10,Electronics,Baltimore,Brazil,55-64,Apple Pay,2024-07-28,PII_VIOLATION
120,samantha.bailey@work.com,***-***-****,***-**-****,Samantha Bailey,ORD-000120,Blender,59.99,3,Kitchen,Houston,Canada,55-64,Debit Card,2024-06-04,PII_VIOLATION
121,T***@***.com,***-***-****,***-**-****,T. P.,ORD-000121,Samsung TV,1499.99,9,Electronics,Bakersfield,Germany,55-64,Google Pay,2024-02-17,NO_VIOLATION
122,betty.henderson@work.com,555-962-1674,945-13-2330,Betty Henderson,ORD-000122,MacBook Pro,1299.99,10,Electronics,Tampa,India,35-44,Bank Transfer,2024-04-17,PII_VIOLATION
123,***@***.com,555-757-5949,***-**-****,Cynthia James,ORD-000123,Bose Speaker,349.99,8,Electronics,Fresno,Canada,65+,Credit Card,2024-03-21,PII_VIOLATION
124,andrew.roberts@email.com,555-420-6231,851-54-7532,Andrew Roberts,ORD-000124,Samsung TV,1499.99,6,Electronics,Lexington,France,55-64,Google Pay,2024-02-24,PII_VIOLATION
125,N/A,N/A,N/A,Anonymous,ORD-000125,Jeans,59.99,6,Clothing,New Orleans,Japan,25-34,Crypto,2024-03-22,NO_VIOLATION
126,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000126,Galaxy S24,899.99,4,Electronics,Philadelphia,Japan,55-64,Apple Pay,2024-05-03,NO_VIOLATION
127,***@***.com,555-711-8710,***-**-****,David Green,ORD-000127,Jeans,59.99,7,Clothing,San Antonio,Japan,25-34,PayPal,2024-07-06,PII_VIOLATION
128,david.kelly@company.com,555-471-5728,175-59-9261,David Kelly,ORD-000128,Coffee Maker,79.99,10,Kitchen,Lexington,Mexico,35-44,Crypto,2024-11-15,PII_VIOLATION
129,E***@outlook.com,***-***-****,873-28-4261,Eric Parker,ORD-000129,Textbook,79.99,1,Books,Miami,Japan,55-64,Credit Card,2024-01-24,PII_VIOLATION
130,***@***.com,555-720-9446,***-**-****,Scott Murphy,ORD-000130,Dell Laptop,849.99,10,Electronics,Baltimore,India,65+,Crypto,2024-06-02,PII_VIOLATION
131,N/A,N/A,N/A,Anonymous,ORD-000131,Vitamin Pack,24.99,1,Health,Wichita,Germany,65+,Crypto,2024-12-18,NO_VIOLATION
132,joan.price@company.com,555-838-1841,697-71-3793,Joan Price,ORD-000132,Blender,59.99,4,Kitchen,Bakersfield,India,45-54,Debit Card,2024-12-14,PII_VIOLATION
133,***@***.com,555-421-7861,***-**-****,Steven Williams,ORD-000133,Vitamin Pack,24.99,3,Health,Miami,India,45-54,Crypto,2024-02-01,PII_VIOLATION
134,N***@company.com,***-***-****,570-78-6608,Nicole Richardson,ORD-000134,Toaster Oven,69.99,4,Kitchen,Memphis,Germany,55-64,Apple Pay,2024-04-08,PII_VIOLATION
135,***@***.com,555-806-9011,***-**-****,Ryan Green,ORD-000135,Toaster Oven,69.99,9,Kitchen,Corpus Christi,Germany,35-44,Credit Card,2024-10-20,PII_VIOLATION
136,N/A,N/A,N/A,Anonymous,ORD-000136,T-Shirt,19.99,4,Clothing,Tucson,Germany,65+,Apple Pay,2024-04-19,NO_VIOLATION
137,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000137,Canon Camera,749.99,6,Electronics,Bakersfield,Australia,18-24,Credit Card,2024-07-30,NO_VIOLATION
138,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000138,Air Fryer,99.99,1,Kitchen,Tampa,Australia,35-44,PayPal,2024-05-26,NO_VIOLATION
139,***@***.com,555-647-1611,***-**-****,Joan Sanders,ORD-000139,T-Shirt,19.99,1,Clothing,Chicago,Japan,45-54,Debit Card,2024-05-28,PII_VIOLATION
140,***@***.com,555-391-8444,***-**-****,Victoria Hernandez,ORD-000140,Air Fryer,99.99,2,Kitchen,Dallas,Mexico,45-54,PayPal,2024-04-08,PII_VIOLATION
141,arthur.torres@email.com,555-114-6523,909-47-4164,Arthur Torres,ORD-000141,Dell Laptop,849.99,2,Electronics,New Orleans,Japan,45-54,Google Pay,2024-06-16,PII_VIOLATION
142,S***@company.com,***-***-****,106-43-7284,Sandra Thompson,ORD-000142,Canon Camera,749.99,10,Electronics,Tucson,Germany,35-44,PayPal,2024-10-25,PII_VIOLATION
143,lisa.martin@outlook.com,***-***-****,***-**-****,Lisa Martin,ORD-000143,T-Shirt,19.99,5,Clothing,Santa Ana,Germany,65+,Credit Card,2024-11-23,PII_VIOLATION
144,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000144,Vitamin Pack,24.99,4,Health,Aurora,Mexico,45-54,Crypto,2024-10-02,NO_VIOLATION
145,angela.bell@work.com,***-***-****,***-**-****,Angela Bell,ORD-000145,Sony Headphones,199.99,9,Electronics,Cleveland,Mexico,25-34,Debit Card,2024-06-16,PII_VIOLATION
146,C***@gmail.com,***-***-****,556-17-8429,Cheryl Price,ORD-000146,Samsung TV,1499.99,9,Electronics,Miami,Japan,45-54,Google Pay,2024-01-30,PII_VIOLATION
147,***@***.com,555-863-4570,***-**-****,Eric Torres,ORD-000147,Vitamin Pack,24.99,8,Health,Memphis,Canada,55-64,Credit Card,2024-02-05,PII_VIOLATION
148,***@***.com,555-483-7266,***-**-****,Sandra Thompson,ORD-000148,AirPods Pro,249.99,2,Electronics,Anaheim,Mexico,25-34,Bank Transfer,2024-06-27,PII_VIOLATION
149,E***@email.com,***-***-****,954-10-1372,Eric Gray,ORD-000149,Bose Speaker,349.99,4,Electronics,Fresno,Mexico,45-54,Google Pay,2024-07-13,PII_VIOLATION
150,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000150,Sony Headphones,199.99,10,Electronics,Phoenix,Canada,55-64,Credit Card,2024-08-16,NO_VIOLATION
151,N/A,N/A,N/A,Anonymous,ORD-000151,Samsung TV,1499.99,6,Electronics,Miami,Germany,25-34,Crypto,2024-10-21,NO_VIOLATION
152,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000152,Nintendo Switch,299.99,7,Electronics,Houston,Mexico,55-64,Bank Transfer,2024-03-30,NO_VIOLATION
153,T***@***.com,***-***-****,***-**-****,T. E.,ORD-000153,Protein Powder,49.99,5,Health,Jacksonville,Mexico,45-54,Debit Card,2024-04-25,NO_VIOLATION
